# X-coordinate(cm) Y-coordinate(cm) Count
88.1669 14.829 4035
85.5682 13.3359 6242
86.4341 13.8357 3997
84.7024 14.8396 5565
82.1027 14.3324 4001
55.2554 3.83333 6997
69.4004 4.66667 7249
68.2457 7.33333 6248
95.0925 3.83333 3497
62.4752 16.6752 6548
95.3812 5.66667 4997
94.2265 4.33333 1000
77.772 3.83333 4252
93.6491 15.6667 4254
49.1932 14.3333 7750
87.587 5.16667 4497
48.3272 3.83333 7998
56.9874 14.8333 7999
65.0703 15.1667 5250
95.3812 14.6667 3997
54.678 6.16667 6499
78.6379 4.33351 5497
78.638 5.33333 7499
22.3464 7.83334 7000
74.3079 4.83333 6999
71.9985 6.16667 5998
25.2332 14.1667 6499
75.4626 15.1667 4500
77.1947 14.1667 7498
56.1214 14.3333 6250
52.946 12.1667 5496
